host_id,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
32294,94,1,3,11,0.87,3,219,4.110873864173311
11481,31,0,2,233,2.09,3,342,5.170483995038151
63318,206,1,2,68,0.6,1,312,4.189654742026425
93790,209,0,4,46,0.55,2,243,6.2166061010848646
97219,214,1,3,335,3.02,1,152,4.624972813284271
97797,151,0,30,88,0.79,1,9,5.3981627015177525
87773,13,0,90,162,1.46,2,137,4.836281906951478
105538,214,0,30,29,0.4,1,222,4.394449154672439
107628,94,1,2,170,1.61,1,346,4.61512051684126
109589,85,0,30,19,0.2,1,208,5.303304908059076
59734,95,1,2,334,3.0,2,279,4.0943445622221
51038,41,1,2,19,0.2,6,250,4.836281906951478
112793,64,0,7,12,0.13,1,164,4.948759890378168
42273,182,0,30,467,4.22,2,192,4.795790545596741
72062,64,0,2,7,0.06,4,298,5.860786223465865
115157,112,0,5,38,0.38,1,260,5.298317366548036
115307,214,0,3,324,3.01,1,107,5.786897381366708
115560,202,0,6,27,0.27,1,199,5.4638318050256105
72062,64,0,1,115,1.05,4,299,5.420534999272286
118971,182,1,2,354,3.2,3,20,4.605170185988092
119510,94,0,2,195,2.03,1,318,5.14166355650266
119588,182,0,2,16,0.24,2,216,5.993961427306569
119900,202,0,7,13,0.12,1,224,5.14166355650266
120223,64,0,4,25,0.23,1,0,4.61512051684126
65091,159,1,2,9,0.08,1,324,4.330733340286331
6197784,214,1,1,9,0.08,1,245,4.51085950651685
124352,201,0,5,21,0.19,1,189,5.017279836814924
124797,206,1,15,36,0.33,1,307,4.454347296253507
35935,13,1,3,63,0.58,2,310,4.262679877041316
126607,94,0,3,155,1.42,3,213,4.795790545596741
127608,41,1,3,260,2.35,1,278,4.499809670330265
125857,64,0,5,73,0.66,1,209,5.225746673713202
129352,91,1,3,193,1.86,1,0,3.9318256327243257
120335,119,0,3,32,0.29,1,16,4.663439094112067
117287,95,1,2,50,0.45,3,234,4.875197323201151
135619,209,0,29,26,0.25,1,12,4.7535901911063645
137292,76,1,2,2,0.02,1,178,4.356708826689592
137814,41,1,2,426,3.89,3,275,4.343805421853684
137974,13,0,3,227,2.09,2,163,4.836281906951478
116599,41,1,4,84,0.77,3,365,4.912654885736052
138579,91,0,29,3,0.03,1,34,5.525452939131784
139612,214,0,3,10,0.1,1,280,5.298317366548036
139874,43,0,2,4,0.04,1,0,4.948759890378168
140025,77,1,2,1,0.01,1,1,4.948759890378168
137974,13,0,3,124,1.72,2,170,4.7535901911063645
142833,214,0,3,11,0.11,1,188,5.081404364984463
143027,214,0,4,240,2.19,1,214,5.278114659230517
143048,64,0,3,30,0.28,1,248,5.278114659230517
72014,214,1,3,200,1.86,4,262,4.394449154672439
149929,80,1,8,27,1.05,5,280,3.80666248977032
120291,209,1,4,79,0.74,1,307,5.056245805348308
62165,158,1,15,9,0.09,1,339,4.454347296253507
142684,214,1,3,155,1.61,1,1,4.836281906951478
137432,158,0,15,4,0.05,1,269,4.7535901911063645
157798,61,1,2,34,0.32,1,10,4.248495242049359
158284,209,0,45,134,1.24,1,312,5.420534999272286
159370,214,0,6,27,0.25,1,189,4.836281906951478
92788,201,0,4,126,1.16,2,290,5.393627546352362
165789,19,0,3,23,0.27,1,230,6.16541785423142
168417,201,0,1,234,2.6,2,164,4.605170185988092
168525,214,1,4,202,1.86,2,53,4.248495242049359
110506,189,1,30,28,0.26,1,126,4.382026634673881
170510,13,0,2,309,2.86,2,3,4.912654885736052
171851,53,1,3,14,0.13,1,189,5.525452939131784
174025,201,0,3,4,0.08,1,365,5.525452939131784
180083,85,0,2,80,2.17,1,0,5.525452939131784
181167,94,0,3,2,0.04,1,0,4.394449154672439
137814,41,1,2,294,3.47,3,336,4.262679877041316
11481,31,0,2,150,1.4,3,342,5.111987788356544
185978,186,1,2,166,1.66,1,312,4.262679877041316
177536,28,1,2,47,0.94,1,37,3.9318256327243257
190409,96,1,1,219,2.04,3,353,3.713572066704308
193360,214,0,2,193,1.78,1,177,5.017279836814924
72062,64,1,1,84,0.78,4,310,4.836281906951478
193722,73,0,3,114,1.06,1,0,5.2832037287379885
181376,80,1,2,213,2.0,2,321,4.709530201312334
193637,209,0,3,86,0.8,1,246,5.14166355650266
126607,94,0,3,80,0.75,3,231,5.111987788356544
201297,209,0,26,38,0.36,1,225,5.017279836814924
202249,94,0,2,18,1.79,1,0,4.61512051684126
67778,80,1,2,206,1.92,2,0,4.189654742026425
204539,166,0,8,10,0.11,5,365,5.860786223465865
867225,130,1,4,122,1.18,2,233,4.605170185988092
204724,214,0,4,33,0.58,1,1,5.303304908059076
8198,151,0,5,52,0.5,1,18,5.017279836814924
209460,13,1,3,126,1.17,4,343,4.51085950651685
210746,158,1,3,51,0.48,3,250,4.795790545596741
212722,201,1,3,199,1.85,1,326,4.330733340286331
214148,13,0,26,30,0.29,1,364,5.170483995038151
214287,34,0,3,3,0.03,1,0,4.836281906951478
218404,95,0,1,41,0.38,1,299,5.62040086571715
221873,119,0,2,109,1.04,1,207,5.703782474656201
9744,182,0,5,151,1.43,3,162,4.912654885736052
236421,201,1,14,0,0.0,2,0,4.875197323201151
236655,119,1,1,285,2.69,1,7,4.430816798843313
237329,34,1,1,375,3.52,1,328,4.820281565605037
27848,105,1,2,52,0.49,2,365,4.02535169073515
240360,95,0,5,10,1.01,1,0,5.278114659230517
247432,13,1,2,11,0.48,1,0,4.394449154672439
204539,125,0,30,33,0.31,5,240,4.59511985013459
204539,166,1,7,6,0.06,5,365,4.948759890378168
204539,125,0,7,38,0.38,5,365,5.583496308781699
10889,214,0,2,358,3.44,2,164,5.521460917862246
255583,95,2,6,10,0.09,1,363,4.663439094112067
253385,94,1,30,0,0.0,1,365,5.303304908059076
210746,158,1,2,226,2.12,3,250,4.61512051684126
256161,94,0,1,104,1.0,5,247,4.804021044733257
190409,96,1,1,138,1.45,3,323,3.828641396489095
258164,61,1,5,204,1.92,1,192,4.61512051684126
260709,214,0,2,253,3.04,1,125,4.948759890378168
262138,13,1,2,23,0.22,1,91,4.276666119016055
88209,144,1,2,115,1.17,1,75,4.875197323201151
263414,209,0,5,129,1.22,1,286,5.298317366548036
168525,214,1,4,82,1.13,2,60,4.248495242049359
264928,80,1,3,37,0.35,1,0,4.23410650459726
267593,64,0,1,204,2.04,1,192,4.875197323201151
268014,91,0,2,69,0.65,1,58,5.278114659230517
256161,94,1,1,192,1.84,5,245,4.174387269895637
272006,54,0,2,17,0.16,1,292,4.948759890378168
199392,43,0,2,222,2.12,1,279,5.075173815233827
239208,64,0,3,205,1.96,1,0,5.247024072160486
274557,95,0,3,94,0.96,1,3,5.525452939131784
275459,64,0,3,7,0.07,1,351,5.480638923341991
275578,75,0,2,108,1.09,1,201,5.723585101952381
276291,94,0,3,222,2.1,2,232,5.049856007249537
277379,94,1,1,458,4.58,2,258,4.110873864173311
277394,216,1,2,21,0.26,1,272,4.912654885736052
279797,169,1,7,17,0.3,1,341,4.795790545596741
282927,119,0,3,41,0.39,1,244,5.017279836814924
204539,166,0,14,1,0.01,5,365,4.948759890378168
274782,91,0,2,69,0.67,1,12,4.912654885736052
186084,35,0,4,18,0.18,2,265,5.525452939131784
288031,127,0,30,82,0.78,1,0,5.525452939131784
289653,178,0,4,94,0.99,1,329,6.2166061010848646
99212,92,0,5,10,0.1,1,91,5.420534999272286
292204,61,0,28,183,1.83,2,365,4.836281906951478
256161,94,1,1,189,1.82,5,253,4.532599493153256
249372,94,1,2,1,0.11,1,365,5.170483995038151
292630,64,0,2,127,1.22,1,320,4.605170185988092
293394,202,0,4,4,0.04,1,0,5.278114659230517
126607,61,0,3,135,1.3,3,192,4.948759890378168
295760,115,0,2,21,0.2,1,0,4.912654885736052
291112,34,0,2,35,0.34,1,348,6.2166061010848646
297176,94,1,14,10,2.21,2,0,4.394449154672439
297769,35,1,4,171,1.8,2,353,4.795790545596741
23619,127,0,200,92,0.9,1,140,4.709530201312334
281764,60,0,3,238,2.3,1,2,4.189654742026425
303882,64,0,50,56,0.58,1,56,4.875197323201151
197755,28,0,3,111,2.13,1,68,4.605170185988092
303939,194,1,2,193,1.85,6,360,3.610917912644224
303939,194,1,2,147,1.44,6,0,3.6375861597263857
303939,194,1,2,177,1.71,6,320,3.6375861597263857
306545,64,0,3,185,1.78,2,326,5.170483995038151
306605,34,0,9,62,0.7,2,76,5.327876168789581
306739,91,0,3,124,1.22,3,279,5.655991810819852
308875,214,1,2,181,1.77,2,15,4.0943445622221
303939,194,1,2,333,3.19,6,340,3.610917912644224
307962,4,0,5,441,4.5,1,226,4.605170185988092
308652,108,1,1,45,0.46,2,365,3.688879454113936
310458,151,1,14,9,0.09,2,0,4.110873864173311
295128,39,1,2,0,0.0,7,349,4.51085950651685
310670,65,0,2,38,0.5,13,365,4.663439094112067
170510,13,0,2,248,2.39,2,11,4.912654885736052
306545,64,0,5,143,1.38,2,316,5.968707559985366
311286,13,1,3,36,0.41,4,281,4.262679877041316
312288,103,1,7,0,0.0,2,323,4.330733340286331
312722,214,1,17,14,0.14,4,362,4.110873864173311
146944,64,0,3,0,0.0,1,0,5.303304908059076
313317,51,1,3,279,2.69,1,301,4.61512051684126
311286,13,1,4,18,0.22,4,189,4.262679877041316
314256,51,1,6,50,3.55,1,0,4.709530201312334
314582,51,1,2,227,2.27,2,287,4.110873864173311
7310,115,0,14,1,0.16,1,14,4.51085950651685
46978,64,1,2,203,1.96,2,86,4.23410650459726
317809,202,0,2,210,2.1,1,261,4.7535901911063645
319092,13,1,5,64,0.67,1,68,4.330733340286331
320422,214,1,3,0,0.0,1,0,4.110873864173311
320450,64,0,7,5,0.15,1,231,4.867534450455582
320761,214,0,10,49,0.48,1,152,4.875197323201151
320538,214,0,4,132,1.27,1,46,4.564348191467836
321756,94,1,3,20,0.26,1,364,4.330733340286331
321934,151,0,2,11,0.11,1,246,5.170483995038151
322884,31,0,3,51,0.57,1,288,5.25227342804663
322716,51,1,21,15,0.15,5,331,3.912023005428146
324460,64,0,3,67,1.31,1,51,5.3612921657094255
314941,119,1,1,109,1.11,3,364,4.564348191467836
325389,214,0,2,9,0.11,1,254,4.948759890378168
136227,94,0,6,187,1.87,1,189,4.912654885736052
327673,151,0,2,214,2.08,2,263,5.017279836814924
329436,85,0,3,69,0.79,2,258,5.25227342804663
101597,61,0,28,22,0.26,1,103,4.8283137373023015
330347,214,0,30,56,0.56,1,42,4.912654885736052
332189,130,1,3,93,0.93,1,246,4.812184355372417
323517,202,1,1,104,1.05,2,364,4.700480365792417
338454,94,1,30,64,0.68,1,318,4.454347296253507
240427,13,0,3,127,1.25,2,72,4.983606621708336
342054,202,0,11,30,0.32,1,249,5.278114659230517
282655,31,0,2,106,1.34,3,272,5.525452939131784
343250,91,1,3,6,0.1,1,325,4.836281906951478
281229,115,0,2,191,1.88,1,298,6.356107660695892
352168,202,0,30,48,0.55,1,35,5.017279836814924
155689,28,1,5,47,0.49,1,203,4.262679877041316
353965,103,1,2,120,1.27,1,132,4.51085950651685
354330,64,1,3,52,0.63,1,5,4.189654742026425
72062,64,0,2,48,0.48,4,297,6.2166061010848646
361855,206,0,3,32,0.43,2,276,5.525452939131784
363834,35,0,25,43,0.42,1,102,4.836281906951478
364955,209,0,30,39,0.44,1,251,5.303304908059076
365153,91,0,1,50,0.5,1,188,5.438079308923196
369015,111,0,30,4,0.35,2,346,4.51085950651685
373085,202,0,13,38,0.39,1,0,4.709530201312334
340692,91,1,3,29,0.36,1,15,4.0943445622221
211877,214,0,4,59,0.6,1,71,5.278114659230517
389924,214,0,1,68,0.67,2,215,5.135798437050262
331328,61,0,14,26,0.27,3,253,4.736198448394496
391325,94,0,14,31,0.31,1,78,5.525452939131784
265109,4,0,2,198,2.01,1,257,4.7535901911063645
394752,91,1,2,1,0.01,1,0,4.02535169073515
308875,214,1,2,220,2.17,2,8,4.248495242049359
401696,119,0,3,286,2.81,1,191,5.017279836814924
118971,182,0,2,398,3.97,3,182,5.135798437050262
417504,91,1,3,36,0.36,28,79,5.19295685089021
134355,95,1,3,36,0.36,1,49,5.017279836814924
422561,19,0,4,6,0.1,1,0,4.912654885736052
425506,41,0,6,14,0.3,1,156,5.860786223465865
430188,214,1,14,76,0.76,6,343,4.795790545596741
434987,64,1,2,182,1.81,1,200,4.276666119016055
417504,91,1,3,8,0.09,28,60,5.857933154483459
417504,91,1,3,7,0.07,28,60,5.857933154483459
438133,151,0,30,34,0.51,2,189,5.111987788356544
417504,91,1,3,2,0.02,28,60,5.521460917862246
448312,25,1,3,66,0.68,2,0,4.61512051684126
448312,25,0,3,80,0.85,2,106,5.303304908059076
449787,64,0,4,240,2.4,1,276,5.135798437050262
451545,13,0,3,46,1.07,1,248,5.225746673713202
453519,28,0,2,228,2.27,1,194,4.189654742026425
454756,80,0,35,5,0.05,1,135,4.875197323201151
456638,214,0,30,8,0.11,1,30,5.298317366548036
410094,64,0,2,33,0.33,1,0,5.420534999272286
417504,91,1,3,13,0.14,28,81,5.19295685089021
459054,51,0,5,5,0.05,1,0,5.017279836814924
462776,64,0,1,388,3.88,1,142,4.941642422609304
464506,198,1,3,223,2.22,2,60,4.564348191467836
322716,51,0,15,11,0.11,5,179,4.382026634673881
327900,119,0,2,151,1.51,2,52,5.017279836814924
116599,41,0,5,0,0.0,3,365,6.478509642208569
209460,13,0,3,218,2.26,4,324,4.51085950651685
25183,13,0,2,75,0.76,2,237,4.795790545596741
35375,4,1,1,42,1.21,2,365,4.394449154672439
503800,51,0,90,0,0.0,1,365,4.61512051684126
478395,13,0,2,370,3.74,1,204,5.170483995038151
473113,51,0,5,104,1.04,1,272,4.795790545596741
509341,214,0,7,13,0.13,1,0,4.948759890378168
509918,13,0,5,4,0.07,1,9,5.303304908059076
116599,41,1,4,11,0.11,3,365,5.111987788356544
31374,112,0,4,1,0.01,3,181,4.836281906951478
520279,34,0,30,19,0.19,1,189,4.875197323201151
522065,61,2,7,131,1.31,2,0,4.189654742026425
522164,80,0,30,15,0.15,1,189,4.820281565605037
523218,206,1,2,136,1.37,1,296,4.219507705176107
526653,160,1,1,43,0.45,1,88,3.9318256327243257
526805,85,0,7,98,0.99,1,35,4.875197323201151
530032,214,1,3,31,0.31,1,0,4.61512051684126
178043,202,0,21,45,0.46,1,35,5.3612921657094255
465278,214,0,3,124,1.76,1,359,5.25227342804663
417504,91,1,3,9,0.09,28,60,6.396929655216146
251176,64,0,5,166,1.68,2,365,5.521460917862246
547386,168,1,27,13,0.13,1,335,4.262679877041316
322716,51,0,30,15,0.16,5,282,4.61512051684126
551055,94,1,3,380,3.83,2,247,4.110873864173311
552679,13,0,2,86,0.87,1,102,4.912654885736052
306739,91,0,3,248,2.53,3,274,5.170483995038151
3088389,202,0,5,49,0.56,1,201,4.795790545596741
568568,127,0,18,54,0.57,1,98,5.135798437050262
572527,51,0,7,3,0.03,1,157,5.111987788356544
573316,94,1,1,1,0.02,1,0,4.51085950651685
571952,201,0,2,56,0.57,1,312,5.420534999272286
181376,80,1,2,163,1.66,2,331,4.564348191467836
314582,51,1,2,247,2.51,2,275,4.02535169073515
275582,95,1,10,116,1.17,1,174,4.454347296253507
579495,182,0,14,27,0.28,2,223,5.298317366548036
314941,119,0,1,52,0.6,3,361,5.356586274672012
582598,127,0,6,39,0.4,1,0,4.983606621708336
567187,94,1,14,35,0.35,1,283,4.189654742026425
127772,94,0,1,320,3.23,1,220,4.605170185988092
585166,4,0,4,30,0.32,1,363,4.709530201312334
209460,51,0,3,225,2.27,4,315,4.394449154672439
593115,25,0,30,95,0.96,1,281,5.017279836814924
2248897,13,0,4,70,0.75,1,283,4.709530201312334
585458,34,1,2,35,0.36,1,20,5.673323267171493
599354,64,1,2,0,0.0,1,0,4.477336814478207
138069,214,0,4,50,0.51,1,331,5.25227342804663
262812,214,0,2,29,0.31,1,36,5.303304908059076
611716,151,0,2,23,0.23,2,7,5.111987788356544
617990,94,0,2,142,1.44,2,301,4.709530201312334
622460,64,0,2,70,0.73,1,170,5.981414211254481
622855,13,1,2,38,0.54,2,307,4.605170185988092
308652,108,1,1,82,0.94,2,365,3.688879454113936
627217,64,0,2,403,4.1,3,201,5.247024072160486
620288,202,1,1,3,0.03,1,0,4.454347296253507
23276,85,0,30,3,0.03,1,316,5.564520407322694
256161,94,0,1,116,1.18,5,271,4.812184355372417
275563,91,0,2,175,1.79,1,139,5.111987788356544
85330,79,0,3,28,1.21,3,209,4.584967478670572
651390,209,0,4,24,0.25,1,0,5.14166355650266
507186,214,0,2,15,0.15,1,0,4.836281906951478
653405,137,1,4,105,1.07,1,193,4.875197323201151
652842,214,0,10,22,0.38,1,52,5.420534999272286
663764,60,1,2,263,2.69,2,136,3.9318256327243257
663879,80,0,3,86,0.91,2,286,5.14166355650266
665013,34,0,4,10,0.1,1,0,4.890349128221754
663384,151,0,7,18,0.21,1,18,5.525452939131784
674970,91,0,5,8,0.21,1,9,4.955827057601261
680818,51,0,20,70,0.73,1,3,4.174387269895637
622866,214,0,3,150,1.55,1,277,5.521460917862246
683975,51,1,2,115,1.18,1,0,4.382026634673881
686147,64,0,2,69,0.71,1,233,5.225746673713202
686768,19,0,3,232,2.41,1,221,4.795790545596741
687361,151,0,1,35,0.41,1,355,6.206575926724928
689661,145,0,3,18,0.21,1,0,5.929589143389895
630453,145,0,3,68,0.69,1,277,5.170483995038151
277747,64,0,4,22,0.23,1,0,5.017279836814924
616825,94,0,8,17,0.17,1,343,5.560681631015528
299755,64,1,1,34,0.58,1,0,4.574710978503383
404424,214,0,7,8,0.08,1,0,4.983606621708336
703156,34,0,4,0,0.0,1,0,5.303304908059076
706418,202,0,5,2,0.08,1,0,4.564348191467836
709434,216,0,4,52,0.72,1,188,5.525452939131784
709334,94,0,2,74,0.76,2,264,5.69035945432406
715807,92,0,3,18,0.19,1,0,5.170483995038151
716064,214,0,2,72,0.86,1,331,6.113682179832232
718349,202,0,2,191,2.18,1,236,5.111987788356544
720320,201,0,4,0,0.0,1,0,5.525452939131784
716306,218,0,1,197,2.49,1,309,4.356708826689592
726333,119,0,4,19,0.2,1,0,5.525452939131784
722320,4,0,1,414,4.34,1,245,4.867534450455582
216191,214,1,2,8,0.09,4,0,4.59511985013459
731855,151,0,2,0,0.0,1,8,5.017279836814924
731904,64,1,7,25,0.3,1,359,4.564348191467836
256161,94,1,3,119,1.22,5,333,4.02535169073515
732535,94,0,2,203,2.14,3,258,5.707110264748875
733894,189,1,40,53,0.55,3,236,3.7612001156935615
737585,91,0,2,104,1.09,1,22,4.836281906951478
739499,64,1,3,175,1.8,1,236,5.170483995038151
745069,94,1,3,38,0.42,3,365,4.330733340286331
656841,214,0,45,39,0.5,1,89,5.545177444479562
757166,13,0,31,88,0.91,1,164,4.290459441148391
758441,13,1,1,27,0.28,4,311,5.111987788356544
573065,214,0,5,117,1.28,1,23,5.111987788356544
759583,41,1,3,43,0.44,2,365,4.330733340286331
762563,91,0,5,4,0.05,1,0,4.875197323201151
465589,214,0,2,385,4.0,1,222,4.941642422609304
54275,13,1,1,64,0.68,3,238,4.48863636973214
54275,13,1,1,39,0.41,3,218,4.394449154672439
759883,34,1,2,37,1.79,1,0,5.017279836814924
769247,202,0,3,10,0.12,1,0,5.303304908059076
770831,64,0,2,103,1.08,1,235,5.303304908059076
733894,189,1,40,41,0.43,3,246,3.7612001156935615
772300,214,1,6,3,0.03,1,0,4.51085950651685
1856604,94,0,3,227,2.33,1,247,5.69035945432406
776490,214,0,5,37,0.79,1,15,6.111467339502679
776645,51,0,2,29,0.35,1,119,4.875197323201151
242506,214,1,3,205,2.31,3,0,4.499809670330265
781647,94,0,5,42,0.44,2,234,5.293304824724492
627217,64,0,2,280,2.92,3,257,4.605170185988092
32169,91,1,4,86,0.89,3,350,3.8501476017100575
69439,178,1,2,54,0.56,1,221,4.948759890378168
787273,31,0,7,7,0.07,1,0,6.2166061010848646
867225,130,1,5,57,0.59,2,201,4.330733340286331
733894,189,1,44,31,0.32,3,161,3.5263605246161616
791287,202,0,31,188,1.94,1,259,5.525452939131784
792159,28,1,3,480,6.7,1,0,4.110873864173311
793620,206,1,2,34,0.35,1,222,4.330733340286331
795640,31,0,5,6,0.06,1,0,5.860786223465865
306605,34,0,9,3,0.04,2,76,5.327876168789581
795889,151,0,5,2,0.03,1,0,5.393627546352362
22486,151,1,1,20,0.21,6,258,4.110873864173311
789257,202,0,2,129,1.33,1,14,5.225746673713202
800982,64,0,3,147,1.6,1,27,5.25227342804663
720558,182,0,28,101,1.06,1,167,4.663439094112067
803086,61,0,2,11,0.12,2,68,5.525452939131784
747698,202,0,65,11,0.12,1,358,5.170483995038151
805344,94,1,2,41,0.43,2,59,4.189654742026425
806112,13,0,2,87,1.09,1,0,4.330733340286331
806214,200,1,4,117,1.21,1,232,3.6375861597263857
806774,214,0,2,86,0.89,2,15,4.454347296253507
807642,89,0,7,0,0.0,2,0,4.672828834461906
812814,61,0,2,15,0.16,1,0,4.382026634673881
67778,80,1,2,35,0.55,2,161,4.454347296253507
803086,94,1,2,17,0.18,2,88,5.14166355650266
302772,119,1,3,3,0.04,2,337,4.7535901911063645
781647,94,1,5,43,0.47,2,247,4.499809670330265
826192,94,2,3,168,4.6,1,248,3.912023005428146
826459,91,1,3,241,2.49,1,287,4.5217885770490405
829652,86,0,2,105,1.13,1,304,5.993961427306569
833926,28,0,2,11,0.46,1,0,5.017279836814924
836168,202,0,30,30,0.33,11,0,7.601402334583733
842125,51,0,3,31,0.32,1,193,4.584967478670572
844862,64,1,4,49,0.51,2,43,4.61512051684126
846309,214,0,4,23,0.24,1,25,5.19295685089021
848748,91,0,2,20,0.21,2,127,6.2166061010848646
848960,34,0,10,18,0.9,1,0,6.063785208687608
849492,112,0,6,90,0.95,1,303,5.247024072160486
21475,119,1,2,99,1.04,1,345,4.795790545596741
314941,145,0,1,6,0.06,3,115,5.707110264748875
864735,4,0,30,21,0.22,8,200,4.68213122712422
864735,4,0,30,24,0.26,8,271,4.564348191467836
872121,94,0,2,111,1.17,1,12,5.298317366548036
39260,61,0,2,86,0.91,1,268,4.795790545596741
872805,209,0,15,66,0.69,2,89,5.298317366548036
873273,0,0,2,271,2.84,2,347,4.836281906951478
876054,214,1,2,227,2.4,1,37,4.262679877041316
