host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
961342,1,28,1,4.189654742026425,4,24,0.28,1,317
78460,1,158,0,4.882801922586371,4,166,3.4,1,207
51038,1,41,1,4.59511985013459,7,16,0.2,6,185
79070,1,158,0,5.525452939131784,7,21,0.3,1,158
79402,1,214,0,4.61512051684126,5,168,1.57,1,0
44145,1,28,0,4.663439094112067,3,118,1.05,2,9
42032,2,202,0,4.948759890378168,3,81,0.71,1,198
82685,2,94,1,4.499809670330265,1,1,0.11,1,365
83257,2,34,1,4.59511985013459,30,30,0.27,2,364
87773,1,13,0,4.836281906951478,7,139,1.23,2,311
32294,2,94,1,4.110873864173311,3,11,0.87,3,219
11481,1,31,0,5.170483995038151,2,233,2.09,3,342
63318,2,206,1,4.189654742026425,2,68,0.6,1,312
93790,2,209,0,6.2166061010848646,4,46,0.55,2,243
97219,1,214,1,4.624972813284271,3,335,3.02,1,152
97797,1,151,0,5.3981627015177525,30,88,0.79,1,9
87773,1,13,0,4.836281906951478,90,162,1.46,2,137
105538,1,214,0,4.394449154672439,30,29,0.4,1,222
107628,2,94,1,4.61512051684126,2,170,1.61,1,346
109589,1,85,0,5.303304908059076,30,19,0.2,1,208
59734,2,95,1,4.0943445622221,2,334,3.0,2,279
51038,1,41,1,4.836281906951478,2,19,0.2,6,250
112793,2,64,0,4.948759890378168,7,12,0.13,1,164
42273,1,182,0,4.795790545596741,30,467,4.22,2,192
72062,2,64,0,5.860786223465865,2,7,0.06,4,298
115157,2,112,0,5.298317366548036,5,38,0.38,1,260
115307,1,214,0,5.786897381366708,3,324,3.01,1,107
115560,2,202,0,5.4638318050256105,6,27,0.27,1,199
72062,2,64,0,5.420534999272286,1,115,1.05,4,299
118971,1,182,1,4.605170185988092,2,354,3.2,3,20
119510,2,94,0,5.14166355650266,2,195,2.03,1,318
119588,1,182,0,5.993961427306569,2,16,0.24,2,216
119900,2,202,0,5.14166355650266,7,13,0.12,1,224
120223,2,64,0,4.61512051684126,4,25,0.23,1,0
65091,1,159,1,4.330733340286331,2,9,0.08,1,324
6197784,1,214,1,4.51085950651685,1,9,0.08,1,245
124352,2,201,0,5.017279836814924,5,21,0.19,1,189
124797,2,206,1,4.454347296253507,15,36,0.33,1,307
35935,1,13,1,4.262679877041316,3,63,0.58,2,310
126607,2,94,0,4.795790545596741,3,155,1.42,3,213
127608,1,41,1,4.499809670330265,3,260,2.35,1,278
125857,2,64,0,5.225746673713202,5,73,0.66,1,209
129352,1,91,1,3.9318256327243257,3,193,1.86,1,0
120335,2,119,0,4.663439094112067,3,32,0.29,1,16
117287,2,95,1,4.875197323201151,2,50,0.45,3,234
135619,2,209,0,4.7535901911063645,29,26,0.25,1,12
137292,1,76,1,4.356708826689592,2,2,0.02,1,178
137814,1,41,1,4.343805421853684,2,426,3.89,3,275
137974,1,13,0,4.836281906951478,3,227,2.09,2,163
116599,1,41,1,4.912654885736052,4,84,0.77,3,365
138579,1,91,0,5.525452939131784,29,3,0.03,1,34
139612,1,214,0,5.298317366548036,3,10,0.1,1,280
139874,1,43,0,4.948759890378168,2,4,0.04,1,0
140025,3,77,1,4.948759890378168,2,1,0.01,1,1
137974,1,13,0,4.7535901911063645,3,124,1.72,2,170
142833,1,214,0,5.081404364984463,3,11,0.11,1,188
143027,1,214,0,5.278114659230517,4,240,2.19,1,214
143048,2,64,0,5.278114659230517,3,30,0.28,1,248
72014,1,214,1,4.394449154672439,3,200,1.86,4,262
149929,1,80,1,3.80666248977032,8,27,1.05,5,280
120291,2,209,1,5.056245805348308,4,79,0.74,1,307
62165,1,158,1,4.454347296253507,15,9,0.09,1,339
142684,1,214,1,4.836281906951478,3,155,1.61,1,1
137432,1,158,0,4.7535901911063645,15,4,0.05,1,269
157798,2,61,1,4.248495242049359,2,34,0.32,1,10
158284,2,209,0,5.420534999272286,45,134,1.24,1,312
159370,1,214,0,4.836281906951478,6,27,0.25,1,189
92788,2,201,0,5.393627546352362,4,126,1.16,2,290
165789,1,19,0,6.16541785423142,3,23,0.27,1,230
168417,2,201,0,4.605170185988092,1,234,2.6,2,164
168525,1,214,1,4.248495242049359,4,202,1.86,2,53
110506,3,189,1,4.382026634673881,30,28,0.26,1,126
170510,1,13,0,4.912654885736052,2,309,2.86,2,3
171851,1,53,1,5.525452939131784,3,14,0.13,1,189
174025,2,201,0,5.525452939131784,3,4,0.08,1,365
180083,1,85,0,5.525452939131784,2,80,2.17,1,0
181167,2,94,0,4.394449154672439,3,2,0.04,1,0
137814,1,41,1,4.262679877041316,2,294,3.47,3,336
11481,1,31,0,5.111987788356544,2,150,1.4,3,342
185978,4,186,1,4.262679877041316,2,166,1.66,1,312
177536,1,28,1,3.9318256327243257,2,47,0.94,1,37
190409,0,96,1,3.713572066704308,1,219,2.04,3,353
193360,1,214,0,5.017279836814924,2,193,1.78,1,177
72062,2,64,1,4.836281906951478,1,84,0.78,4,310
193722,2,73,0,5.2832037287379885,3,114,1.06,1,0
181376,1,80,1,4.709530201312334,2,213,2.0,2,321
193637,2,209,0,5.14166355650266,3,86,0.8,1,246
126607,2,94,0,5.111987788356544,3,80,0.75,3,231
201297,2,209,0,5.017279836814924,26,38,0.36,1,225
202249,2,94,0,4.61512051684126,2,18,1.79,1,0
67778,1,80,1,4.189654742026425,2,206,1.92,2,0
204539,3,166,0,5.860786223465865,8,10,0.11,5,365
867225,2,130,1,4.605170185988092,4,122,1.18,2,233
204724,1,214,0,5.303304908059076,4,33,0.58,1,1
8198,1,151,0,5.017279836814924,5,52,0.5,1,18
209460,1,13,1,4.51085950651685,3,126,1.17,4,343
210746,1,158,1,4.795790545596741,3,51,0.48,3,250
212722,2,201,1,4.330733340286331,3,199,1.85,1,326
214148,1,13,0,5.170483995038151,26,30,0.29,1,364
214287,2,34,0,4.836281906951478,3,3,0.03,1,0
218404,2,95,0,5.62040086571715,1,41,0.38,1,299
221873,2,119,0,5.703782474656201,2,109,1.04,1,207
9744,1,182,0,4.912654885736052,5,151,1.43,3,162
236421,2,201,1,4.875197323201151,14,0,0.0,2,0
236655,2,119,1,4.430816798843313,1,285,2.69,1,7
237329,2,34,1,4.820281565605037,1,375,3.52,1,328
27848,3,105,1,4.02535169073515,2,52,0.49,2,365
240360,2,95,0,5.278114659230517,5,10,1.01,1,0
247432,1,13,1,4.394449154672439,2,11,0.48,1,0
204539,3,125,0,4.59511985013459,30,33,0.31,5,240
204539,3,166,1,4.948759890378168,7,6,0.06,5,365
204539,3,125,0,5.583496308781699,7,38,0.38,5,365
10889,1,214,0,5.521460917862246,2,358,3.44,2,164
255583,2,95,2,4.663439094112067,6,10,0.09,1,363
253385,2,94,1,5.303304908059076,30,0,0.0,1,365
210746,1,158,1,4.61512051684126,2,226,2.12,3,250
256161,2,94,0,4.804021044733257,1,104,1.0,5,247
190409,0,96,1,3.828641396489095,1,138,1.45,3,323
258164,2,61,1,4.61512051684126,5,204,1.92,1,192
260709,1,214,0,4.948759890378168,2,253,3.04,1,125
262138,1,13,1,4.276666119016055,2,23,0.22,1,91
88209,2,144,1,4.875197323201151,2,115,1.17,1,75
263414,2,209,0,5.298317366548036,5,129,1.22,1,286
168525,1,214,1,4.248495242049359,4,82,1.13,2,60
264928,1,80,1,4.23410650459726,3,37,0.35,1,0
267593,2,64,0,4.875197323201151,1,204,2.04,1,192
268014,1,91,0,5.278114659230517,2,69,0.65,1,58
256161,2,94,1,4.174387269895637,1,192,1.84,5,245
272006,3,54,0,4.948759890378168,2,17,0.16,1,292
199392,1,43,0,5.075173815233827,2,222,2.12,1,279
239208,2,64,0,5.247024072160486,3,205,1.96,1,0
274557,2,95,0,5.525452939131784,3,94,0.96,1,3
275459,2,64,0,5.480638923341991,3,7,0.07,1,351
275578,2,75,0,5.723585101952381,2,108,1.09,1,201
276291,2,94,0,5.049856007249537,3,222,2.1,2,232
277379,2,94,1,4.110873864173311,1,458,4.58,2,258
277394,1,216,1,4.912654885736052,2,21,0.26,1,272
279797,2,169,1,4.795790545596741,7,17,0.3,1,341
282927,2,119,0,5.017279836814924,3,41,0.39,1,244
204539,3,166,0,4.948759890378168,14,1,0.01,5,365
274782,1,91,0,4.912654885736052,2,69,0.67,1,12
186084,2,35,0,5.525452939131784,4,18,0.18,2,265
288031,2,127,0,5.525452939131784,30,82,0.78,1,0
289653,2,178,0,6.2166061010848646,4,94,0.99,1,329
99212,2,92,0,5.420534999272286,5,10,0.1,1,91
292204,2,61,0,4.836281906951478,28,183,1.83,2,365
256161,2,94,1,4.532599493153256,1,189,1.82,5,253
249372,2,94,1,5.170483995038151,2,1,0.11,1,365
292630,2,64,0,4.605170185988092,2,127,1.22,1,320
293394,2,202,0,5.278114659230517,4,4,0.04,1,0
126607,2,61,0,4.948759890378168,3,135,1.3,3,192
295760,2,115,0,4.912654885736052,2,21,0.2,1,0
291112,2,34,0,6.2166061010848646,2,35,0.34,1,348
297176,2,94,1,4.394449154672439,14,10,2.21,2,0
297769,2,35,1,4.795790545596741,4,171,1.8,2,353
23619,2,127,0,4.709530201312334,200,92,0.9,1,140
281764,1,60,0,4.189654742026425,3,238,2.3,1,2
303882,2,64,0,4.875197323201151,50,56,0.58,1,56
197755,1,28,0,4.605170185988092,3,111,2.13,1,68
303939,4,194,1,3.610917912644224,2,193,1.85,6,360
303939,4,194,1,3.6375861597263857,2,147,1.44,6,0
303939,4,194,1,3.6375861597263857,2,177,1.71,6,320
306545,2,64,0,5.170483995038151,3,185,1.78,2,326
306605,2,34,0,5.327876168789581,9,62,0.7,2,76
306739,1,91,0,5.655991810819852,3,124,1.22,3,279
308875,1,214,1,4.0943445622221,2,181,1.77,2,15
303939,4,194,1,3.610917912644224,2,333,3.19,6,340
307962,3,4,0,4.605170185988092,5,441,4.5,1,226
308652,1,108,1,3.688879454113936,1,45,0.46,2,365
310458,1,151,1,4.110873864173311,14,9,0.09,2,0
295128,0,39,1,4.51085950651685,2,0,0.0,7,349
310670,0,65,0,4.663439094112067,2,38,0.5,13,365
170510,1,13,0,4.912654885736052,2,248,2.39,2,11
306545,2,64,0,5.968707559985366,5,143,1.38,2,316
311286,1,13,1,4.262679877041316,3,36,0.41,4,281
312288,2,103,1,4.330733340286331,7,0,0.0,2,323
312722,1,214,1,4.110873864173311,17,14,0.14,4,362
146944,2,64,0,5.303304908059076,3,0,0.0,1,0
313317,1,51,1,4.61512051684126,3,279,2.69,1,301
311286,1,13,1,4.262679877041316,4,18,0.22,4,189
314256,1,51,1,4.709530201312334,6,50,3.55,1,0
314582,1,51,1,4.110873864173311,2,227,2.27,2,287
7310,2,115,0,4.51085950651685,14,1,0.16,1,14
46978,2,64,1,4.23410650459726,2,203,1.96,2,86
317809,2,202,0,4.7535901911063645,2,210,2.1,1,261
319092,1,13,1,4.330733340286331,5,64,0.67,1,68
320422,1,214,1,4.110873864173311,3,0,0.0,1,0
320450,2,64,0,4.867534450455582,7,5,0.15,1,231
320761,1,214,0,4.875197323201151,10,49,0.48,1,152
320538,1,214,0,4.564348191467836,4,132,1.27,1,46
321756,2,94,1,4.330733340286331,3,20,0.26,1,364
321934,1,151,0,5.170483995038151,2,11,0.11,1,246
322884,1,31,0,5.25227342804663,3,51,0.57,1,288
322716,1,51,1,3.912023005428146,21,15,0.15,5,331
324460,2,64,0,5.3612921657094255,3,67,1.31,1,51
314941,2,119,1,4.564348191467836,1,109,1.11,3,364
325389,1,214,0,4.948759890378168,2,9,0.11,1,254
136227,2,94,0,4.912654885736052,6,187,1.87,1,189
327673,1,151,0,5.017279836814924,2,214,2.08,2,263
329436,1,85,0,5.25227342804663,3,69,0.79,2,258
101597,2,61,0,4.8283137373023015,28,22,0.26,1,103
330347,1,214,0,4.912654885736052,30,56,0.56,1,42
332189,2,130,1,4.812184355372417,3,93,0.93,1,246
323517,2,202,1,4.700480365792417,1,104,1.05,2,364
338454,2,94,1,4.454347296253507,30,64,0.68,1,318
240427,1,13,0,4.983606621708336,3,127,1.25,2,72
342054,2,202,0,5.278114659230517,11,30,0.32,1,249
282655,1,31,0,5.525452939131784,2,106,1.34,3,272
343250,1,91,1,4.836281906951478,3,6,0.1,1,325
281229,2,115,0,6.356107660695892,2,191,1.88,1,298
352168,2,202,0,5.017279836814924,30,48,0.55,1,35
155689,1,28,1,4.262679877041316,5,47,0.49,1,203
353965,2,103,1,4.51085950651685,2,120,1.27,1,132
354330,2,64,1,4.189654742026425,3,52,0.63,1,5
72062,2,64,0,6.2166061010848646,2,48,0.48,4,297
361855,2,206,0,5.525452939131784,3,32,0.43,2,276
363834,2,35,0,4.836281906951478,25,43,0.42,1,102
364955,2,209,0,5.303304908059076,30,39,0.44,1,251
365153,1,91,0,5.438079308923196,1,50,0.5,1,188
369015,0,111,0,4.51085950651685,30,4,0.35,2,346
373085,2,202,0,4.709530201312334,13,38,0.39,1,0
340692,1,91,1,4.0943445622221,3,29,0.36,1,15
211877,1,214,0,5.278114659230517,4,59,0.6,1,71
389924,1,214,0,5.135798437050262,1,68,0.67,2,215
331328,2,61,0,4.736198448394496,14,26,0.27,3,253
391325,2,94,0,5.525452939131784,14,31,0.31,1,78
265109,3,4,0,4.7535901911063645,2,198,2.01,1,257
394752,1,91,1,4.02535169073515,2,1,0.01,1,0
308875,1,214,1,4.248495242049359,2,220,2.17,2,8
401696,2,119,0,5.017279836814924,3,286,2.81,1,191
118971,1,182,0,5.135798437050262,2,398,3.97,3,182
417504,1,91,1,5.19295685089021,3,36,0.36,28,79
134355,2,95,1,5.017279836814924,3,36,0.36,1,49
422561,1,19,0,4.912654885736052,4,6,0.1,1,0
425506,1,41,0,5.860786223465865,6,14,0.3,1,156
430188,1,214,1,4.795790545596741,14,76,0.76,6,343
434987,2,64,1,4.276666119016055,2,182,1.81,1,200
417504,1,91,1,5.857933154483459,3,8,0.09,28,60
417504,1,91,1,5.857933154483459,3,7,0.07,28,60
438133,1,151,0,5.111987788356544,30,34,0.51,2,189
417504,1,91,1,5.521460917862246,3,2,0.02,28,60
448312,1,25,1,4.61512051684126,3,66,0.68,2,0
448312,1,25,0,5.303304908059076,3,80,0.85,2,106
449787,2,64,0,5.135798437050262,4,240,2.4,1,276
451545,1,13,0,5.225746673713202,3,46,1.07,1,248
453519,1,28,0,4.189654742026425,2,228,2.27,1,194
454756,1,80,0,4.875197323201151,35,5,0.05,1,135
456638,1,214,0,5.298317366548036,30,8,0.11,1,30
410094,2,64,0,5.420534999272286,2,33,0.33,1,0
417504,1,91,1,5.19295685089021,3,13,0.14,28,81
459054,1,51,0,5.017279836814924,5,5,0.05,1,0
462776,2,64,0,4.941642422609304,1,388,3.88,1,142
464506,2,198,1,4.564348191467836,3,223,2.22,2,60
322716,1,51,0,4.382026634673881,15,11,0.11,5,179
327900,2,119,0,5.017279836814924,2,151,1.51,2,52
116599,1,41,0,6.478509642208569,5,0,0.0,3,365
209460,1,13,0,4.51085950651685,3,218,2.26,4,324
25183,1,13,0,4.795790545596741,2,75,0.76,2,237
35375,3,4,1,4.394449154672439,1,42,1.21,2,365
503800,1,51,0,4.61512051684126,90,0,0.0,1,365
478395,1,13,0,5.170483995038151,2,370,3.74,1,204
473113,1,51,0,4.795790545596741,5,104,1.04,1,272
509341,1,214,0,4.948759890378168,7,13,0.13,1,0
509918,1,13,0,5.303304908059076,5,4,0.07,1,9
116599,1,41,1,5.111987788356544,4,11,0.11,3,365
31374,2,112,0,4.836281906951478,4,1,0.01,3,181
520279,2,34,0,4.875197323201151,30,19,0.19,1,189
522065,2,61,2,4.189654742026425,7,131,1.31,2,0
522164,1,80,0,4.820281565605037,30,15,0.15,1,189
523218,2,206,1,4.219507705176107,2,136,1.37,1,296
526653,3,160,1,3.9318256327243257,1,43,0.45,1,88
526805,1,85,0,4.875197323201151,7,98,0.99,1,35
530032,1,214,1,4.61512051684126,3,31,0.31,1,0
178043,2,202,0,5.3612921657094255,21,45,0.46,1,35
465278,1,214,0,5.25227342804663,3,124,1.76,1,359
417504,1,91,1,6.396929655216146,3,9,0.09,28,60
251176,2,64,0,5.521460917862246,5,166,1.68,2,365
547386,3,168,1,4.262679877041316,27,13,0.13,1,335
322716,1,51,0,4.61512051684126,30,15,0.16,5,282
551055,2,94,1,4.110873864173311,3,380,3.83,2,247
552679,1,13,0,4.912654885736052,2,86,0.87,1,102
306739,1,91,0,5.170483995038151,3,248,2.53,3,274
3088389,2,202,0,4.795790545596741,5,49,0.56,1,201
568568,2,127,0,5.135798437050262,18,54,0.57,1,98
572527,1,51,0,5.111987788356544,7,3,0.03,1,157
573316,2,94,1,4.51085950651685,1,1,0.02,1,0
571952,2,201,0,5.420534999272286,2,56,0.57,1,312
181376,1,80,1,4.564348191467836,2,163,1.66,2,331
314582,1,51,1,4.02535169073515,2,247,2.51,2,275
275582,2,95,1,4.454347296253507,10,116,1.17,1,174
579495,1,182,0,5.298317366548036,14,27,0.28,2,223
314941,2,119,0,5.356586274672012,1,52,0.6,3,361
582598,2,127,0,4.983606621708336,6,39,0.4,1,0
567187,2,94,1,4.189654742026425,14,35,0.35,1,283
127772,2,94,0,4.605170185988092,1,320,3.23,1,220
585166,3,4,0,4.709530201312334,4,30,0.32,1,363
209460,1,51,0,4.394449154672439,3,225,2.27,4,315
593115,1,25,0,5.017279836814924,30,95,0.96,1,281
2248897,1,13,0,4.709530201312334,4,70,0.75,1,283
585458,2,34,1,5.673323267171493,2,35,0.36,1,20
599354,2,64,1,4.477336814478207,2,0,0.0,1,0
138069,1,214,0,5.25227342804663,4,50,0.51,1,331
262812,1,214,0,5.303304908059076,2,29,0.31,1,36
611716,1,151,0,5.111987788356544,2,23,0.23,2,7
617990,2,94,0,4.709530201312334,2,142,1.44,2,301
622460,2,64,0,5.981414211254481,2,70,0.73,1,170
622855,1,13,1,4.605170185988092,2,38,0.54,2,307
308652,1,108,1,3.688879454113936,1,82,0.94,2,365
627217,2,64,0,5.247024072160486,2,403,4.1,3,201
620288,2,202,1,4.454347296253507,1,3,0.03,1,0
23276,1,85,0,5.564520407322694,30,3,0.03,1,316
256161,2,94,0,4.812184355372417,1,116,1.18,5,271
275563,1,91,0,5.111987788356544,2,175,1.79,1,139
85330,3,79,0,4.584967478670572,3,28,1.21,3,209
651390,2,209,0,5.14166355650266,4,24,0.25,1,0
507186,1,214,0,4.836281906951478,2,15,0.15,1,0
653405,2,137,1,4.875197323201151,4,105,1.07,1,193
652842,1,214,0,5.420534999272286,10,22,0.38,1,52
663764,1,60,1,3.9318256327243257,2,263,2.69,2,136
663879,1,80,0,5.14166355650266,3,86,0.91,2,286
665013,2,34,0,4.890349128221754,4,10,0.1,1,0
663384,1,151,0,5.525452939131784,7,18,0.21,1,18
674970,1,91,0,4.955827057601261,5,8,0.21,1,9
680818,1,51,0,4.174387269895637,20,70,0.73,1,3
622866,1,214,0,5.521460917862246,3,150,1.55,1,277
683975,1,51,1,4.382026634673881,2,115,1.18,1,0
686147,2,64,0,5.225746673713202,2,69,0.71,1,233
686768,1,19,0,4.795790545596741,3,232,2.41,1,221
687361,1,151,0,6.206575926724928,1,35,0.41,1,355
689661,2,145,0,5.929589143389895,3,18,0.21,1,0
630453,2,145,0,5.170483995038151,3,68,0.69,1,277
277747,2,64,0,5.017279836814924,4,22,0.23,1,0
616825,2,94,0,5.560681631015528,8,17,0.17,1,343
299755,2,64,1,4.574710978503383,1,34,0.58,1,0
404424,1,214,0,4.983606621708336,7,8,0.08,1,0
703156,2,34,0,5.303304908059076,4,0,0.0,1,0
706418,2,202,0,4.564348191467836,5,2,0.08,1,0
709434,1,216,0,5.525452939131784,4,52,0.72,1,188
709334,2,94,0,5.69035945432406,2,74,0.76,2,264
715807,2,92,0,5.170483995038151,3,18,0.19,1,0
716064,1,214,0,6.113682179832232,2,72,0.86,1,331
718349,2,202,0,5.111987788356544,2,191,2.18,1,236
720320,2,201,0,5.525452939131784,4,0,0.0,1,0
716306,0,218,0,4.356708826689592,1,197,2.49,1,309
726333,2,119,0,5.525452939131784,4,19,0.2,1,0
722320,3,4,0,4.867534450455582,1,414,4.34,1,245
216191,1,214,1,4.59511985013459,2,8,0.09,4,0
731855,1,151,0,5.017279836814924,2,0,0.0,1,8
731904,2,64,1,4.564348191467836,7,25,0.3,1,359
256161,2,94,1,4.02535169073515,3,119,1.22,5,333
732535,2,94,0,5.707110264748875,2,203,2.14,3,258
733894,3,189,1,3.7612001156935615,40,53,0.55,3,236
737585,1,91,0,4.836281906951478,2,104,1.09,1,22
739499,2,64,1,5.170483995038151,3,175,1.8,1,236
745069,2,94,1,4.330733340286331,3,38,0.42,3,365
656841,1,214,0,5.545177444479562,45,39,0.5,1,89
757166,1,13,0,4.290459441148391,31,88,0.91,1,164
758441,1,13,1,5.111987788356544,1,27,0.28,4,311
573065,1,214,0,5.111987788356544,5,117,1.28,1,23
759583,1,41,1,4.330733340286331,3,43,0.44,2,365
762563,1,91,0,4.875197323201151,5,4,0.05,1,0
465589,1,214,0,4.941642422609304,2,385,4.0,1,222
54275,1,13,1,4.48863636973214,1,64,0.68,3,238
54275,1,13,1,4.394449154672439,1,39,0.41,3,218
759883,2,34,1,5.017279836814924,2,37,1.79,1,0
769247,2,202,0,5.303304908059076,3,10,0.12,1,0
770831,2,64,0,5.303304908059076,2,103,1.08,1,235
733894,3,189,1,3.7612001156935615,40,41,0.43,3,246
772300,1,214,1,4.51085950651685,6,3,0.03,1,0
1856604,2,94,0,5.69035945432406,3,227,2.33,1,247
776490,1,214,0,6.111467339502679,5,37,0.79,1,15
776645,1,51,0,4.875197323201151,2,29,0.35,1,119
242506,1,214,1,4.499809670330265,3,205,2.31,3,0
781647,2,94,0,5.293304824724492,5,42,0.44,2,234
627217,2,64,0,4.605170185988092,2,280,2.92,3,257
32169,1,91,1,3.8501476017100575,4,86,0.89,3,350
69439,2,178,1,4.948759890378168,2,54,0.56,1,221
787273,1,31,0,6.2166061010848646,7,7,0.07,1,0
867225,2,130,1,4.330733340286331,5,57,0.59,2,201
733894,3,189,1,3.5263605246161616,44,31,0.32,3,161
791287,2,202,0,5.525452939131784,31,188,1.94,1,259
792159,1,28,1,4.110873864173311,3,480,6.7,1,0
793620,2,206,1,4.330733340286331,2,34,0.35,1,222
795640,1,31,0,5.860786223465865,5,6,0.06,1,0
306605,2,34,0,5.327876168789581,9,3,0.04,2,76
795889,1,151,0,5.393627546352362,5,2,0.03,1,0
22486,1,151,1,4.110873864173311,1,20,0.21,6,258
